E,E_err,data,y_err,?
0.325, 0.015000001, 0.00009288563, 0.00001980906, 0.00010649324
0.35000002, 0.010000005, 0.00018309813, 0.000035097328, 0.00013716331
0.37, 0.00999999, 0.0002204575, 0.00003809035, 0.00015855358
0.39, 0.010000005, 0.00021886756, 0.0000375179, 0.00017717661
0.41, 0.00999999, 0.0001688063, 0.000032233893, 0.00018380013
0.43, 0.010000005, 0.0001917957, 0.00003430125, 0.0001951827
0.45, 0.010000005, 0.00016197149, 0.00003071164, 0.00020510762
0.47, 0.00999999, 0.0001767894, 0.000031833704, 0.000212686
0.485, 0.00500001, 0.00021279747, 0.00004855232, 0.00021706967
0.5, 0.00999999, 0.00016819758, 0.000030591993, 0.00022024213
0.52, 0.00999999, 0.0002325204, 0.000036574143, 0.00022316838
0.53, 0.005000025, 0.000268945, 0.000055592103, 0.00020902227
0.55, 0.00999999, 0.00018562053, 0.000031007272, 0.00016934404
0.57, 0.00999999, 0.00016614527, 0.000030951796, 0.00017259769
0.59000003, 0.01000002, 0.00019629415, 0.000034165856, 0.00017493902
0.61, 0.00999999, 0.0002131779, 0.000035819296, 0.00017660586
0.63, 0.00999999, 0.0001892557, 0.000033846994, 0.00017763818
0.65, 0.01000002, 0.00017800646, 0.0000325848, 0.00017811144
0.67, 0.00999999, 0.00019911214, 0.000033938148, 0.00017810354
0.69, 0.00999999, 0.00021697766, 0.000034653272, 0.0001776843
0.71000004, 0.01000002, 0.00015209969, 0.000029226218, 0.00017690758
0.73, 0.00999999, 0.00016112813, 0.000028843744, 0.00016994737
0.745, 0.004999995, 0.00023950175, 0.000049715363, 0.00016839207
0.76, 0.00999999, 0.00012437887, 0.000024975578, 0.00016755663
0.78, 0.01000002, 0.00019095972, 0.000030894484, 0.00016628699
0.8, 0.00999999, 0.00013240374, 0.000025850964, 0.00016484791
0.82, 0.00999999, 0.00016923991, 0.00002860334, 0.00016327636
0.84000003, 0.01000002, 0.00015723064, 0.000027448425, 0.00016159749
0.86, 0.00999999, 0.00016342397, 0.00002785519, 0.00015935715
0.875, 0.004999995, 0.00018580993, 0.000041133808, 0.00015458747
0.885, 0.004999995, 0.00018320452, 0.000040557035, 0.00015259993
0.9, 0.01000002, 0.00013859446, 0.000024888557, 0.00015136435
0.915, 0.004999995, 0.00017150813, 0.00003873726, 0.0001501015
0.925, 0.004999995, 0.00023276078, 0.000044794833, 0.00014924396
0.935, 0.004999995, 0.00018516912, 0.00004020803, 0.00014837614
0.945, 0.004999995, 0.00018310778, 0.000039577626, 0.00014749909
0.96000004, 0.01000002, 0.00012347614, 0.000022925035, 0.00014617083
0.98, 0.00999999, 0.000121774596, 0.000022685825, 0.00014438105
0.995, 0.004999995, 0.00017884275, 0.000038655766, 0.00014302814
1.01, 0.00999999, 0.00015828245, 0.000025676805, 0.0001416699
1.03, 0.00999999, 0.00011607214, 0.000022333734, 0.00013983544
1.045, 0.004999995, 0.0001778295, 0.00003899106, 0.00013847083
1.055, 0.004999995, 0.00016921424, 0.000038219157, 0.00013756442
1.065, 0.005000055, 0.00020127172, 0.000041429248, 0.0001366595
1.08, 0.00999999, 0.00011681895, 0.00002239618, 0.00013527897
1.1, 0.00999999, 0.00009157764, 0.000019703319, 0.00013346884
1.115, 0.004999995, 0.00017574946, 0.000038719973, 0.00013213207
1.13, 0.00999999, 0.00015181946, 0.000025439438, 0.00013080661
1.15, 0.00999999, 0.00015761575, 0.000025771873, 0.0001290535
1.17, 0.00999999, 0.00012677292, 0.000023294107, 0.00012732024
1.19, 0.01000005, 0.00012085739, 0.000022520235, 0.00012560852
1.21, 0.00999999, 0.00013675202, 0.000024097155, 0.00012391982
1.23, 0.00999999, 0.00010347988, 0.000020946994, 0.00012225527
1.25, 0.00999999, 0.00013276796, 0.000023766956, 0.00012061577
1.275, 0.014999986, 0.000096894655, 0.000016615195, 0.00011860516
1.3, 0.00999999, 0.00014824646, 0.000025129959, 0.00011663087
1.3199999, 0.01000005, 0.00009268165, 0.000019849927, 0.00011454054
1.34, 0.00999999, 0.00012243708, 0.000022973341, 0.000112968926
1.36, 0.00999999, 0.00009700473, 0.000020584293, 0.000111502726
1.385, 0.014999986, 0.00008401017, 0.000015757425, 0.00010970829
1.41, 0.00999999, 0.00012831613, 0.000023743338, 0.00010794929
1.425, 0.004999995, 0.00019924375, 0.000041909178, 0.00010691302
1.435, 0.005000055, 0.00018470053, 0.00004030496, 0.00010623099
